frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
122,4.078,Midnight 00:00,0.1,1,-0.82448,-0.33209,2.6844,0.6844,-0.82448,-1.33209,3.11311,-0.01177,0.08547,600.0,5.1
123,4.1114,Midnight 00:00,0.1,1,-0.79712,-0.33276,2.59398,0.59398,-0.79712,-1.33276,3.15962,0.01027,-0.08674,625.0,5.091
124,4.1448,Midnight 00:00,0.1,1,-0.82416,-0.35685,2.68331,0.68331,-0.82416,-1.35685,3.11217,-0.01224,0.08296,600.0,5.102
125,4.1783,Midnight 00:00,0.1,1,-0.82394,-0.37334,2.68258,0.68258,-0.82394,-1.37334,3.11161,-0.01253,0.08131,600.0,5.107
126,4.2117,Midnight 00:00,0.1,1,-0.79753,-0.37305,2.59532,0.59532,-0.79753,-1.37305,3.16152,0.01124,-0.08457,625.0,5.093
127,4.2451,Midnight 00:00,0.1,1,-0.82361,-0.39807,2.6815,0.6815,-0.82361,-1.39807,3.11087,-0.01291,0.07885,600.0,5.114
128,4.2786,Midnight 00:00,0.1,1,-0.82334,-0.41274,2.68055,0.68055,-0.82334,-1.41274,-3.25441,0.05088,-0.07025,587.5,5.107
129,4.312,Midnight 00:00,0.1,1,-0.82329,-0.42277,2.68043,0.68043,-0.82329,-1.42277,3.11023,-0.01326,0.07643,600.0,5.098
130,4.3454,Midnight 00:00,0.1,1,-0.82307,-0.43923,2.67972,0.67972,-0.82307,-1.43923,3.10985,-0.01346,0.07484,600.0,5.111
131,4.3788,Midnight 00:00,0.1,1,-0.79824,-0.43763,2.59766,0.59766,-0.79824,-1.43763,3.16428,0.01262,-0.08079,625.0,5.09
132,4.4123,Midnight 00:00,0.1,1,-0.82276,-0.46391,2.67867,0.67867,-0.82276,-1.46391,3.10936,-0.01374,0.07251,600.0,5.108
133,4.4457,Midnight 00:00,0.1,1,-0.82255,-0.48035,2.67799,0.67799,-0.82255,-1.48035,3.10908,-0.0139,0.07099,600.0,5.109
