frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
163,5.4637,Twilight 19:00,3.0,1,-0.85049,-0.3209,2.66824,0.66824,-0.85049,-1.3209,3.16443,0.01525,-0.14247,600.0,47.468
164,5.4972,Twilight 19:00,3.0,1,-0.85071,-0.33704,2.66896,0.66896,-0.85071,-1.33704,3.16562,0.01591,-0.14152,600.0,47.491
165,5.5307,Twilight 19:00,3.0,1,-0.88219,-0.36227,2.76888,0.76888,-0.88219,-1.36227,3.13687,-0.00229,0.0172,576.0,47.523
166,5.5642,Twilight 19:00,3.0,1,-0.85107,-0.36127,2.67009,0.67009,-0.85107,-1.36127,3.16737,0.01688,-0.14001,600.0,47.458
167,5.5978,Twilight 19:00,3.0,1,-0.88212,-0.38723,2.76868,0.76868,-0.88212,-1.38723,3.13666,-0.0024,0.01683,576.0,47.531
168,5.6313,Twilight 19:00,3.0,1,-0.86969,-0.39579,2.72911,0.72911,-0.86969,-1.39579,-3.07249,-0.03673,0.05821,588.0,47.518
169,5.6648,Twilight 19:00,3.0,1,-0.8517,-0.40171,2.67209,0.67209,-0.8517,-1.40171,3.17019,0.01842,-0.1373,600.0,47.487
170,5.6983,Twilight 19:00,3.0,1,-0.88202,-0.42881,2.76834,0.76834,-0.88202,-1.42881,3.13634,-0.00256,0.01621,576.0,47.543
171,5.7318,Twilight 19:00,3.0,1,-0.8521,-0.42602,2.67337,0.67337,-0.8521,-1.42602,3.17181,0.0193,-0.13557,600.0,47.49
172,5.7654,Twilight 19:00,3.0,1,-0.85965,-0.44425,2.69727,0.69727,-0.85965,-1.44425,-3.16611,0.01395,0.10746,588.0,47.539
173,5.7989,Twilight 19:00,3.0,1,-0.88191,-0.47039,2.76799,0.76799,-0.88191,-1.47039,3.13607,-0.00269,0.01558,576.0,47.545
